District,Accountancy,Agri Science,Biology,Business Studies,Chemistry,Economics (Arts),Economics (Com),Economics (Sci),English Lit,Geography,Geology,Hindi Lit,History,Home Science,Mathematics (Arts),Mathematics (Com),Mathematics (Sci),Phys Ed (Sci),Physical Education,Physics,Political Science,Sanskrit Lit,TOTAL
AJMER,24,0,5,29,17,8,20,0,1,19,0,39,47,12,0,0,8,0,0,13,51,2,295
ALWAR,13,0,8,10,16,5,12,0,1,16,0,47,17,3,0,0,11,0,0,22,38,6,225
BALOTARA,7,0,14,8,10,1,8,0,0,18,0,28,56,2,0,0,7,0,0,20,46,3,228
BANSWARA,18,0,58,17,66,0,14,0,3,158,0,176,92,2,0,0,29,0,0,74,112,90,909
BARAN,8,1,9,6,9,10,5,0,0,26,0,46,43,14,0,0,12,0,0,21,74,16,300
BARMER,9,0,17,7,25,13,8,0,0,16,0,47,112,1,0,0,16,0,0,34,104,0,409
BEAWAR,17,1,15,17,14,13,14,1,0,21,0,21,23,5,0,0,7,0,0,12,45,2,228
BHARATPUR,8,0,2,5,10,2,10,0,1,5,0,15,2,2,1,0,8,0,0,17,26,29,143
BHILWARA,27,0,21,33,36,15,29,0,1,88,0,100,44,10,0,0,15,0,0,39,90,31,579
BIKANER,20,0,16,23,30,4,25,0,2,21,0,21,37,1,0,0,15,0,0,22,54,1,292
BUNDI,10,0,3,13,2,1,15,0,1,28,0,32,28,3,0,0,4,0,0,10,19,22,191
CHITTAURGARH,20,0,22,19,31,26,21,0,1,38,0,81,64,6,1,1,28,0,0,39,66,11,475
CHURU,21,0,14,22,18,0,23,0,1,25,0,26,13,1,0,0,8,0,0,6,40,10,228
DAUSA,15,0,11,12,13,3,10,0,0,22,0,27,9,5,0,0,16,0,0,20,21,7,191
DEEG,6,0,5,7,7,2,9,0,0,10,0,25,14,4,0,0,4,0,0,4,34,22,153
DHAULPUR,7,0,9,6,11,0,6,0,0,20,0,25,36,2,0,0,5,0,0,12,38,22,199
DIDWANA-KUCHAMAN,17,0,10,18,20,3,22,0,1,15,0,33,20,5,0,0,13,0,0,22,24,0,223
DUNGARPUR,17,0,46,19,61,15,20,0,12,136,0,132,44,1,0,0,20,0,0,74,87,32,716
GANGANAGAR,14,0,12,13,20,16,10,0,2,31,0,15,52,4,0,0,5,0,0,5,30,0,229
HANUMANGARH,14,0,7,12,14,5,8,0,1,21,0,10,13,1,0,0,5,0,0,6,25,4,146
JAIPUR,50,0,26,45,23,5,50,0,1,16,0,34,16,11,0,0,18,0,0,30,32,3,360
JAISALMER,6,0,8,7,10,3,5,0,1,21,0,24,51,2,0,0,4,0,0,13,61,0,216
JALOR,11,0,25,11,24,5,10,0,2,14,0,44,86,5,0,0,15,0,0,33,49,6,340
JHALAWAR,13,0,12,14,15,9,11,0,3,24,0,103,51,9,0,0,12,0,0,30,130,31,467
JHUNJHUNUN,15,0,12,22,19,0,24,0,1,5,0,38,15,4,0,0,18,0,0,14,28,0,215
JODHPUR,21,0,21,29,28,6,18,0,0,24,0,32,33,7,0,4,8,0,0,37,54,2,324
KARAULI,9,0,2,11,7,0,10,0,5,9,0,20,14,6,0,0,4,0,0,14,21,21,153
KHAIRTHAL-TIJARA,11,0,9,11,7,3,8,0,0,8,0,23,9,4,0,0,8,0,0,10,12,4,127
KOTA,11,0,1,14,3,4,11,0,2,23,0,34,7,14,0,0,7,0,0,4,34,9,178
KOTPUTLI-BEHROR,12,0,11,11,11,1,11,0,1,6,0,28,6,3,0,0,5,0,0,10,18,6,140
NAGAUR,14,0,11,11,13,3,1,0,1,28,0,22,21,6,0,0,5,0,0,29,19,1,185
PALI,13,0,19,13,18,10,12,0,5,43,0,36,55,8,0,0,11,0,0,22,67,1,333
PHALODI,5,0,11,5,4,3,6,0,0,7,0,21,30,2,0,0,7,0,0,11,48,0,160
PRATAPGARH,11,0,14,11,15,10,10,0,1,62,0,105,55,1,0,0,11,0,0,15,59,9,389
RAJSAMAND,19,0,32,17,23,3,17,0,0,47,0,48,40,5,0,0,15,0,0,29,48,23,366
S.MADHOPUR,9,0,5,10,8,1,9,0,1,12,0,20,28,2,0,0,5,0,0,5,29,7,151
SALUMBAR,12,0,7,11,8,20,11,0,1,43,0,59,37,1,0,0,8,0,0,13,54,1,286
SIKAR,31,1,17,26,16,1,30,0,1,24,0,49,22,5,0,0,13,0,0,20,55,1,312
SIROHI,7,0,9,8,15,3,9,1,0,20,0,30,53,1,0,0,6,0,0,15,42,2,221
TONK,12,0,17,12,11,1,11,0,1,30,0,30,32,2,0,0,8,0,0,12,17,11,207
UDAIPUR,24,1,27,28,30,24,27,0,2,61,0,145,101,6,0,0,20,0,0,34,118,15,663
TOTAL,608,4,600,623,738,257,590,2,57,1261,0,1891,1528,188,2,5,444,0,0,872,2019,463,12152
